Date,Experiment,Treatment,Sample,Gene,RQ
28-Jan,clmd_exp,Silenced,clmd-1,DWVa,0.150264829
28-Jan,clmd_exp,Silenced,clmd-1,VDV2,0.548586845
28-Jan,clmd_exp,Silenced,clmd-1,ARV2,1.606432915
28-Jan,clmd_exp,Silenced,clmd-10,DWVa,0.000207819
28-Jan,clmd_exp,Silenced,clmd-10,VDV2,1.198907733
28-Jan,clmd_exp,Silenced,clmd-10,ARV2,2.101011515
28-Jan,clmd_exp,Silenced,clmd-11,DWVa,0.006338525
28-Jan,clmd_exp,Silenced,clmd-11,VDV2,1.652528524
28-Jan,clmd_exp,Silenced,clmd-11,ARV2,3.49331069
28-Jan,clmd_exp,Silenced,clmd-12,DWVa,0.000237822
28-Jan,clmd_exp,Silenced,clmd-12,VDV2,0.880172908
28-Jan,clmd_exp,Silenced,clmd-12,ARV2,1.903977036
28-Jan,clmd_exp,Silenced,clmd-13,DWVa,0.680208445
28-Jan,clmd_exp,Silenced,clmd-13,VDV2,0.525192082
28-Jan,clmd_exp,Silenced,clmd-13,ARV2,2.343590736
28-Jan,clmd_exp,Silenced,clmd-14,DWVa,0.013836269
28-Jan,clmd_exp,Silenced,clmd-14,VDV2,0.884184361
28-Jan,clmd_exp,Silenced,clmd-14,ARV2,2.156058788
28-Jan,clmd_exp,Silenced,clmd-15,DWVa,7.341892719
28-Jan,clmd_exp,Silenced,clmd-15,VDV2,1.484449625
28-Jan,clmd_exp,Silenced,clmd-15,ARV2,8.50282383
28-Jan,clmd_exp,Silenced,clmd-2,DWVa,1.089096785
28-Jan,clmd_exp,Silenced,clmd-2,VDV2,1.091365933
28-Jan,clmd_exp,Silenced,clmd-2,ARV2,1.254718661
28-Jan,clmd_exp,Silenced,clmd-3,DWVa,4.51E-05
28-Jan,clmd_exp,Silenced,clmd-3,VDV2,0.234600425
28-Jan,clmd_exp,Silenced,clmd-3,ARV2,0.132022917
28-Jan,clmd_exp,Silenced,clmd-4,DWVa,3.42E-05
28-Jan,clmd_exp,Silenced,clmd-4,VDV2,0.670867145
28-Jan,clmd_exp,Silenced,clmd-4,ARV2,0.867372453
28-Jan,clmd_exp,Silenced,clmd-5,DWVa,0.000985049
28-Jan,clmd_exp,Silenced,clmd-5,VDV2,0.551896393
28-Jan,clmd_exp,Silenced,clmd-5,ARV2,0.61437875
28-Jan,clmd_exp,Silenced,clmd-6,DWVa,7.779678822
28-Jan,clmd_exp,Silenced,clmd-6,VDV2,0.583496332
28-Jan,clmd_exp,Silenced,clmd-6,ARV2,1.175482035
28-Jan,clmd_exp,Silenced,clmd-7,DWVa,26.15512085
28-Jan,clmd_exp,Silenced,clmd-7,VDV2,0.906218708
28-Jan,clmd_exp,Silenced,clmd-7,ARV2,2.012784243
28-Jan,clmd_exp,Silenced,clmd-8,DWVa,1.354491472
28-Jan,clmd_exp,Silenced,clmd-8,VDV2,0.717324853
28-Jan,clmd_exp,Silenced,clmd-8,ARV2,1.752617478
28-Jan,clmd_exp,Silenced,clmd-9,DWVa,0.000377256
28-Jan,clmd_exp,Silenced,clmd-9,VDV2,0.79770714
28-Jan,clmd_exp,Silenced,clmd-9,ARV2,1.432047009
23-Jan,CuP14_exp,Silenced,CuP14-1,ARV2,0.227170721
22-Jan,CuP14_exp,Silenced,CuP14-1,VDV2,0.64846307
21-Jan,CuP14_exp,Silenced,CuP14-1,DWVa,0.844249368
23-Jan,CuP14_exp,Silenced,CuP14-10,ARV2,0.295922041
22-Jan,CuP14_exp,Silenced,CuP14-10,VDV2,0.648986697
21-Jan,CuP14_exp,Silenced,CuP14-10,DWVa,6.25E-05
23-Jan,CuP14_exp,Silenced,CuP14-11,ARV2,0.718488514
22-Jan,CuP14_exp,Silenced,CuP14-11,VDV2,1.183239102
21-Jan,CuP14_exp,Silenced,CuP14-11,DWVa,0.377200842
23-Jan,CuP14_exp,Silenced,CuP14-12,ARV2,0.439379215
22-Jan,CuP14_exp,Silenced,CuP14-12,VDV2,1.479623795
21-Jan,CuP14_exp,Silenced,CuP14-12,DWVa,6.83E-05
23-Jan,CuP14_exp,Silenced,CuP14-2,ARV2,0.331317693
22-Jan,CuP14_exp,Silenced,CuP14-2,VDV2,1.058848858
21-Jan,CuP14_exp,Silenced,CuP14-2,DWVa,0.394207925
23-Jan,CuP14_exp,Silenced,CuP14-3,ARV2,0.243437961
22-Jan,CuP14_exp,Silenced,CuP14-3,VDV2,1.433555722
21-Jan,CuP14_exp,Silenced,CuP14-3,DWVa,0.979867637
23-Jan,CuP14_exp,Silenced,CuP14-4,ARV2,0.514969766
22-Jan,CuP14_exp,Silenced,CuP14-4,VDV2,1.162354827
21-Jan,CuP14_exp,Silenced,CuP14-4,DWVa,0.186924025
23-Jan,CuP14_exp,Silenced,CuP14-5,ARV2,1.496856451
22-Jan,CuP14_exp,Silenced,CuP14-5,VDV2,1.444334626
21-Jan,CuP14_exp,Silenced,CuP14-5,DWVa,1.976145744
23-Jan,CuP14_exp,Silenced,CuP14-6,ARV2,0.888622344
22-Jan,CuP14_exp,Silenced,CuP14-6,VDV2,1.480247855
21-Jan,CuP14_exp,Silenced,CuP14-6,DWVa,3.047558784
23-Jan,CuP14_exp,Silenced,CuP14-7,ARV2,0.346553832
22-Jan,CuP14_exp,Silenced,CuP14-7,VDV2,1.265493989
21-Jan,CuP14_exp,Silenced,CuP14-7,DWVa,0.069209315
23-Jan,CuP14_exp,Silenced,CuP14-8,ARV2,0.120648518
21-Jan,CuP14_exp,Silenced,CuP14-8,DWVa,1.319452643
23-Jan,CuP14_exp,Silenced,CuP14-9,ARV2,0.107316189
22-Jan,CuP14_exp,Silenced,CuP14-9,VDV2,0.683777153
21-Jan,CuP14_exp,Silenced,CuP14-9,DWVa,0.00202486
19-Jan,CuP8_exp,Silenced,CuP8-1,ARV2,1.071928859
19-Jan,CuP8_exp,Silenced,CuP8-1,DWVa,0.67207092
19-Jan,CuP8_exp,Silenced,CuP8-1,VDV2,0.624945045
19-Jan,CuP8_exp,Silenced,CuP8-10,ARV2,2.047338486
19-Jan,CuP8_exp,Silenced,CuP8-10,DWVa,1.419323325
19-Jan,CuP8_exp,Silenced,CuP8-10,VDV2,1.717242956
19-Jan,CuP8_exp,Silenced,CuP8-11,ARV2,2.182085514
19-Jan,CuP8_exp,Silenced,CuP8-11,DWVa,0.931816041
19-Jan,CuP8_exp,Silenced,CuP8-11,VDV2,1.547189713
19-Jan,CuP8_exp,Silenced,CuP8-12,ARV2,3.078506231
19-Jan,CuP8_exp,Silenced,CuP8-12,DWVa,0.73893553
19-Jan,CuP8_exp,Silenced,CuP8-12,VDV2,1.82015264
19-Jan,CuP8_exp,Silenced,CuP8-13,ARV2,1.427448988
19-Jan,CuP8_exp,Silenced,CuP8-13,DWVa,2.113085985
19-Jan,CuP8_exp,Silenced,CuP8-13,VDV2,0.676323473
19-Jan,CuP8_exp,Silenced,CuP8-2,ARV2,1.752190113
19-Jan,CuP8_exp,Silenced,CuP8-2,DWVa,23908.85742
19-Jan,CuP8_exp,Silenced,CuP8-2,VDV2,0.678302884
19-Jan,CuP8_exp,Silenced,CuP8-3,ARV2,2.550382614
19-Jan,CuP8_exp,Silenced,CuP8-3,DWVa,4.463777542
19-Jan,CuP8_exp,Silenced,CuP8-3,VDV2,1.109782696
19-Jan,CuP8_exp,Silenced,CuP8-4,ARV2,1.131178021
19-Jan,CuP8_exp,Silenced,CuP8-4,DWVa,117865.75
19-Jan,CuP8_exp,Silenced,CuP8-4,VDV2,0.707203567
19-Jan,CuP8_exp,Silenced,CuP8-5,ARV2,1.41023767
19-Jan,CuP8_exp,Silenced,CuP8-5,DWVa,416833.0938
19-Jan,CuP8_exp,Silenced,CuP8-5,VDV2,0.798135996
19-Jan,CuP8_exp,Silenced,CuP8-6,ARV2,1.738474607
19-Jan,CuP8_exp,Silenced,CuP8-6,DWVa,2.343626499
19-Jan,CuP8_exp,Silenced,CuP8-6,VDV2,1.713207603
19-Jan,CuP8_exp,Silenced,CuP8-7,ARV2,0.737028122
19-Jan,CuP8_exp,Silenced,CuP8-7,DWVa,0.339076787
19-Jan,CuP8_exp,Silenced,CuP8-7,VDV2,0.648951471
19-Jan,CuP8_exp,Silenced,CuP8-8,ARV2,1.654158115
19-Jan,CuP8_exp,Silenced,CuP8-8,DWVa,1.302171469
19-Jan,CuP8_exp,Silenced,CuP8-8,VDV2,0.886701226
19-Jan,CuP8_exp,Silenced,CuP8-9,ARV2,3.544885159
19-Jan,CuP8_exp,Silenced,CuP8-9,DWVa,0.625359118
19-Jan,CuP8_exp,Silenced,CuP8-9,VDV2,0.919606388
15-Jan,Sar_exp,Control,GFP-1,ARV2,1.028130054
14-Jan,Sar_exp,Control,GFP-1,DWVa,4.421034336
14-Jan,Sar_exp,Control,GFP-1,VDV2,0.940459669
15-Jan,Glut_exp,Control,GFP-10,DWVa,146.2377167
16-Jan,Glut_exp,Control,GFP-10,ARV2,0.696902931
16-Jan,Glut_exp,Control,GFP-10,VDV2,0.894411266
23-Jan,CuP14_exp,Control,GFP-10,ARV2,0.330522776
22-Jan,CuP14_exp,Control,GFP-10,VDV2,1.037466168
21-Jan,CuP14_exp,Control,GFP-10,DWVa,2.806506157
28-Jan,clmd_exp,Control,GFP-10,DWVa,10.3603487
28-Jan,clmd_exp,Control,GFP-10,VDV2,0.722214103
28-Jan,clmd_exp,Control,GFP-10,ARV2,1.213439584
15-Jan,Glut_exp,Control,GFP-11,DWVa,51.81168747
16-Jan,Glut_exp,Control,GFP-11,ARV2,0.737949967
16-Jan,Glut_exp,Control,GFP-11,VDV2,0.922610641
23-Jan,CuP14_exp,Control,GFP-11,ARV2,0.348175853
22-Jan,CuP14_exp,Control,GFP-11,VDV2,1.162290335
21-Jan,CuP14_exp,Control,GFP-11,DWVa,1.087976813
28-Jan,clmd_exp,Control,GFP-11,DWVa,3.931087255
28-Jan,clmd_exp,Control,GFP-11,VDV2,0.762029469
28-Jan,clmd_exp,Control,GFP-11,ARV2,1.164345026
19-Jan,CuP8_exp,Control,GFP-13,ARV2,1
19-Jan,CuP8_exp,Control,GFP-13,DWVa,1
19-Jan,CuP8_exp,Control,GFP-13,VDV2,1
15-Jan,Sar_exp,Control,GFP-14,ARV2,1
14-Jan,Sar_exp,Control,GFP-14,DWVa,1
14-Jan,Sar_exp,Control,GFP-14,VDV2,1
15-Jan,Sar_exp,Control,GFP-16,ARV2,17.61896324
14-Jan,Sar_exp,Control,GFP-16,DWVa,0.441023171
14-Jan,Sar_exp,Control,GFP-16,VDV2,2.000174522
15-Jan,Glut_exp,Control,GFP-17,DWVa,1
16-Jan,Glut_exp,Control,GFP-17,ARV2,1
16-Jan,Glut_exp,Control,GFP-17,VDV2,1
15-Jan,Sar_exp,Control,GFP-18,ARV2,1.864304781
14-Jan,Sar_exp,Control,GFP-18,DWVa,5.059764862
14-Jan,Sar_exp,Control,GFP-18,VDV2,0.816854954
15-Jan,Glut_exp,Control,GFP-19,DWVa,5.100768566
16-Jan,Glut_exp,Control,GFP-19,ARV2,1.749208927
16-Jan,Glut_exp,Control,GFP-19,VDV2,0.587364674
23-Jan,Gly_exp,Control,GFP-19,ARV2,2.870485067
23-Jan,Gly_exp,Control,GFP-19,DWVa,0.404286653
23-Jan,Gly_exp,Control,GFP-19,VDV2,0.51854521
15-Jan,Sar_exp,Control,GFP-2,ARV2,0.702936172
14-Jan,Sar_exp,Control,GFP-2,DWVa,0.204732493
14-Jan,Sar_exp,Control,GFP-2,VDV2,1.065858006
19-Jan,CuP8_exp,Control,GFP-20,ARV2,26.75011444
19-Jan,CuP8_exp,Control,GFP-20,DWVa,96264.38281
19-Jan,CuP8_exp,Control,GFP-20,VDV2,1.995037794
28-Jan,clmd_exp,Control,GFP-20,DWVa,4.65834713
28-Jan,clmd_exp,Control,GFP-20,VDV2,1.143931866
28-Jan,clmd_exp,Control,GFP-20,ARV2,10.08215141
19-Jan,CuP8_exp,Control,GFP-21,ARV2,3.348497868
19-Jan,CuP8_exp,Control,GFP-21,DWVa,8840.530273
19-Jan,CuP8_exp,Control,GFP-21,VDV2,1.37419498
19-Jan,CuP8_exp,Control,GFP-22,ARV2,9.980959892
19-Jan,CuP8_exp,Control,GFP-22,DWVa,136112.4531
19-Jan,CuP8_exp,Control,GFP-22,VDV2,1.748795033
15-Jan,Glut_exp,Control,GFP-23,DWVa,0.079183802
16-Jan,Glut_exp,Control,GFP-23,ARV2,1.476749063
16-Jan,Glut_exp,Control,GFP-23,VDV2,1.319163918
15-Jan,Glut_exp,Control,GFP-24,DWVa,0.199793413
16-Jan,Glut_exp,Control,GFP-24,ARV2,0.828732908
16-Jan,Glut_exp,Control,GFP-24,VDV2,1.033597946
28-Jan,clmd_exp,Control,GFP-24,DWVa,0.015000367
28-Jan,clmd_exp,Control,GFP-24,VDV2,0.86078608
28-Jan,clmd_exp,Control,GFP-24,ARV2,1.343678117
19-Jan,CuP8_exp,Control,GFP-25,ARV2,3.35212779
19-Jan,CuP8_exp,Control,GFP-25,DWVa,0.53645891
19-Jan,CuP8_exp,Control,GFP-25,VDV2,2.386583328
19-Jan,CuP8_exp,Control,GFP-26,ARV2,3.479910851
19-Jan,CuP8_exp,Control,GFP-26,DWVa,46481.20703
19-Jan,CuP8_exp,Control,GFP-26,VDV2,1.516028643
19-Jan,CuP8_exp,Control,GFP-27,ARV2,9.655173302
19-Jan,CuP8_exp,Control,GFP-27,DWVa,76098.85938
19-Jan,CuP8_exp,Control,GFP-27,VDV2,2.777146339
23-Jan,CuP14_exp,Control,GFP-28,ARV2,0.480044574
22-Jan,CuP14_exp,Control,GFP-28,VDV2,1.058779597
21-Jan,CuP14_exp,Control,GFP-28,DWVa,3.40E-06
23-Jan,CuP14_exp,Control,GFP-29,ARV2,0.635991454
22-Jan,CuP14_exp,Control,GFP-29,VDV2,2.439858675
21-Jan,CuP14_exp,Control,GFP-29,DWVa,4.00E-06
15-Jan,Glut_exp,Control,GFP-3,DWVa,5.917992115
16-Jan,Glut_exp,Control,GFP-3,ARV2,0.655617952
16-Jan,Glut_exp,Control,GFP-3,VDV2,1.147677302
23-Jan,Gly_exp,Control,GFP-30,ARV2,0.584663093
23-Jan,Gly_exp,Control,GFP-30,DWVa,0.000404736
23-Jan,Gly_exp,Control,GFP-30,VDV2,0.752707064
23-Jan,Gly_exp,Control,GFP-31,ARV2,12.45435524
23-Jan,Gly_exp,Control,GFP-31,DWVa,12.88668251
23-Jan,Gly_exp,Control,GFP-31,VDV2,3.274899483
23-Jan,Gly_exp,Control,GFP-32,ARV2,1.014986515
23-Jan,Gly_exp,Control,GFP-32,DWVa,0.870160878
23-Jan,Gly_exp,Control,GFP-32,VDV2,1.315945745
23-Jan,Gly_exp,Control,GFP-33,ARV2,4.875918865
23-Jan,CuP14_exp,Control,GFP-33,ARV2,1.362113118
22-Jan,CuP14_exp,Control,GFP-33,VDV2,0.873880327
21-Jan,CuP14_exp,Control,GFP-33,DWVa,0.004330089
23-Jan,Gly_exp,Control,GFP-33,DWVa,0.016958913
23-Jan,Gly_exp,Control,GFP-33,VDV2,0.639529765
28-Jan,clmd_exp,Control,GFP-33,DWVa,0.016837124
28-Jan,clmd_exp,Control,GFP-33,VDV2,0.58191818
28-Jan,clmd_exp,Control,GFP-33,ARV2,4.922049522
15-Jan,Sar_exp,Control,GFP-6,ARV2,3.560027122
14-Jan,Sar_exp,Control,GFP-6,DWVa,6.050934315
14-Jan,Sar_exp,Control,GFP-6,VDV2,0.71666038
23-Jan,CuP14_exp,Control,GFP-6,ARV2,1
22-Jan,CuP14_exp,Control,GFP-6,VDV2,1
21-Jan,CuP14_exp,Control,GFP-6,DWVa,1
15-Jan,Sar_exp,Control,GFP-7,ARV2,1.08774817
14-Jan,Sar_exp,Control,GFP-7,DWVa,0.035667889
14-Jan,Sar_exp,Control,GFP-7,VDV2,0.556342065
23-Jan,CuP14_exp,Control,GFP-7,ARV2,0.300823599
22-Jan,CuP14_exp,Control,GFP-7,VDV2,0.742110491
21-Jan,CuP14_exp,Control,GFP-7,DWVa,0.005965502
23-Jan,Gly_exp,Control,GFP-8,ARV2,1
23-Jan,Gly_exp,Control,GFP-8,DWVa,1
23-Jan,Gly_exp,Control,GFP-8,VDV2,1
28-Jan,clmd_exp,Control,GFP-8,DWVa,1
28-Jan,clmd_exp,Control,GFP-8,VDV2,1
28-Jan,clmd_exp,Control,GFP-8,ARV2,1
23-Jan,Gly_exp,Control,GFP-9,ARV2,0.645694733
23-Jan,Gly_exp,Control,GFP-9,DWVa,0.000311741
23-Jan,Gly_exp,Control,GFP-9,VDV2,0.80642134
28-Jan,clmd_exp,Control,GFP-9,DWVa,0.000302071
28-Jan,clmd_exp,Control,GFP-9,VDV2,0.76930207
28-Jan,clmd_exp,Control,GFP-9,ARV2,0.624745905
15-Jan,Glut_exp,Silenced,Glut-1,DWVa,191.6936493
16-Jan,Glut_exp,Silenced,Glut-1,ARV2,0.867511809
16-Jan,Glut_exp,Silenced,Glut-1,VDV2,0.737093866
15-Jan,Glut_exp,Silenced,Glut-10,DWVa,0.000120398
16-Jan,Glut_exp,Silenced,Glut-10,ARV2,1.199958324
16-Jan,Glut_exp,Silenced,Glut-10,VDV2,0.970326364
15-Jan,Glut_exp,Silenced,Glut-11,DWVa,5.769846439
16-Jan,Glut_exp,Silenced,Glut-11,ARV2,1.019470215
16-Jan,Glut_exp,Silenced,Glut-11,VDV2,1.030413508
15-Jan,Glut_exp,Silenced,Glut-2,DWVa,0.982562661
16-Jan,Glut_exp,Silenced,Glut-2,ARV2,1.401546478
16-Jan,Glut_exp,Silenced,Glut-2,VDV2,0.585450888
15-Jan,Glut_exp,Silenced,Glut-3,DWVa,42.69423676
16-Jan,Glut_exp,Silenced,Glut-3,ARV2,0.545196176
16-Jan,Glut_exp,Silenced,Glut-3,VDV2,0.728867173
15-Jan,Glut_exp,Silenced,Glut-4,DWVa,0.09077239
16-Jan,Glut_exp,Silenced,Glut-4,ARV2,0.298325866
16-Jan,Glut_exp,Silenced,Glut-4,VDV2,0.916330218
15-Jan,Glut_exp,Silenced,Glut-5,DWVa,110.1974869
16-Jan,Glut_exp,Silenced,Glut-5,ARV2,0.710165203
16-Jan,Glut_exp,Silenced,Glut-5,VDV2,0.700249493
